 1	 0.00482222     
 2	 0.01359247     
 3	 0.02346532     
 4	 0.03245221     
 5	 0.00522219     
 6	 0.01228611     
 7	 0.02274188     
 8	 0.03355410     
 9	 0.00635961     
10	 0.01385800     
11	 0.02498047     
12	 0.03663634     
13	 0.00846627     
14	 0.01547017     
15	 0.02693570     
16	 0.04018740     
17	 0.01100692     
18	 0.01901595     
19	 0.03239248     
20	 0.04841649     
21	 0.01340750     
22	 0.02222554     
23	 0.03681543     
24	 0.05398479     
25	 0.01541003     
26	 0.02394219     
27	 0.03789842     
28	 0.05407768     
29	 0.01779377     
30	 0.03310786     
31	 0.06032386     
32	 0.09133556     
