 1	 0.00695034     
 2	 0.04067879     
 3	 0.07876322     
 4	 0.11452851     
 5	 0.00681579     
 6	 0.05012832     
 7	 0.10155414     
 8	 0.15424582     
 9	 0.00728868     
10	 0.06951294     
11	 0.14144173     
12	 0.21473377     
13	 0.00877432     
14	 0.08436691     
15	 0.16865891     
16	 0.25149066     
17	 0.01146419     
18	 0.09457954     
19	 0.18692243     
20	 0.27508904     
21	 0.01459778     
22	 0.11539956     
23	 0.23096088     
24	 0.34608264     
25	 0.01769811     
26	 0.12790179     
27	 0.25187305     
28	 0.37272602     
29	 0.02164134     
30	 0.11218462     
31	 0.22009903     
32	 0.32498057     
