 1	 0.00341839     
 2	 0.01130634     
 3	 0.01913195     
 4	 0.02553403     
 5	 0.00367214     
 6	 0.00969048     
 7	 0.01798130     
 8	 0.02610342     
 9	 0.00443937     
10	 0.01087991     
11	 0.01963935     
12	 0.02828952     
13	 0.00580022     
14	 0.01137415     
15	 0.02025192     
16	 0.03029262     
17	 0.00732250     
18	 0.01355266     
19	 0.02437803     
20	 0.03746262     
21	 0.00857608     
22	 0.01612110     
23	 0.02832721     
24	 0.04225468     
25	 0.00957253     
26	 0.01715731     
27	 0.02860494     
28	 0.04139584     
29	 0.01094247     
30	 0.02540263     
31	 0.04785515     
32	 0.07207819     
