 1	 0.01835793     
 2	 0.03760200     
 3	 0.07042550     
 4	 0.10830930     
 5	 0.01883843     
 6	 0.05225765     
 7	 0.10203994     
 8	 0.15629462     
 9	 0.02006105     
10	 0.06752269     
11	 0.13238554     
12	 0.19936583     
13	 0.02089649     
14	 0.07799656     
15	 0.15060562     
16	 0.22270346     
17	 0.02417056     
18	 0.07971680     
19	 0.15279133     
20	 0.22152147     
21	 0.02391964     
22	 0.07490553     
23	 0.14279852     
24	 0.21013247     
25	 0.02458637     
26	 0.07305309     
27	 0.13598865     
28	 0.19723693     
29	 0.02728431     
30	 0.06587621     
31	 0.11696155     
32	 0.16601865     
