 1	 0.00502212     
 2	 0.02967130     
 3	 0.05785674     
 4	 0.08534423     
 5	 0.00494204     
 6	 0.03967740     
 7	 0.08140003     
 8	 0.12501157     
 9	 0.00523266     
10	 0.05817869     
11	 0.11912720     
12	 0.18162232     
13	 0.00609830     
14	 0.07122298     
15	 0.14247787     
16	 0.21252103     
17	 0.00774886     
18	 0.07742418     
19	 0.15266665     
20	 0.22356915     
21	 0.00945245     
22	 0.09002592     
23	 0.17956852     
24	 0.26863377     
25	 0.01118982     
26	 0.09949616     
27	 0.19594806     
28	 0.29100372     
29	 0.01373862     
30	 0.08835067     
31	 0.17307625     
32	 0.25613502     
