 1	 0.99997224     
 2	 0.99977475     
 3	 0.99931083     
 4	 0.99863930     
 5	 0.99996342     
 6	 0.99978868     
 7	 0.99924046     
 8	 0.99825798     
 9	 0.99993386     
10	 0.99966763     
11	 0.99885833     
12	 0.99741503     
13	 0.99985578     
14	 0.99950265     
15	 0.99846595     
16	 0.99658470     
17	 0.99974815     
18	 0.99927270     
19	 0.99798613     
20	 0.99575263     
21	 0.99969479     
22	 0.99921818     
23	 0.99800823     
24	 0.99603387     
25	 0.99970094     
26	 0.99933115     
27	 0.99844313     
28	 0.99704412     
29	 0.99970022     
30	 0.99902289     
31	 0.99692937     
32	 0.99329998     
