 1	 0.99994234     
 2	 0.99798254     
 3	 0.99223537     
 4	 0.98305266     
 5	 0.99993769     
 6	 0.99648212     
 7	 0.98485411     
 8	 0.96318806     
 9	 0.99991313     
10	 0.99163719     
11	 0.96339895     
12	 0.91119597     
13	 0.99984510     
14	 0.98520849     
15	 0.93985472     
16	 0.86625018     
17	 0.99972679     
18	 0.98200824     
19	 0.93293956     
20	 0.86288659     
21	 0.99963820     
22	 0.97892280     
23	 0.92161060     
24	 0.83700143     
25	 0.99960554     
26	 0.98091220     
27	 0.93123421     
28	 0.85957946     
29	 0.99955656     
30	 0.98878119     
31	 0.95912237     
32	 0.91517746     
